chapter_id,chapter_title,section_id,section_title,description,core_question,core_thesis
CH01,第一章　工业化、劳动分工与“设计”的生成,1.4,材料系统与新形式,棉、陶瓷、铸铁、钢和玻璃的供应链如何限定形式。,工业革命是否“发明”了设计？设计为什么逐渐从制作中分离，并成为工程、企业、市场和审美之间的中介活动？,专业设计并非机器的自动产物，而是劳动分工、图样复制、专利制度、企业组织、市场扩张和审美治理共同作用的结果；手工与机器并未简单先后替代，而是长期共存和相互重组。
CH01,第一章　工业化、劳动分工与“设计”的生成,1.5,工厂中的匿名设计,工人、工程师、制图员、企业主和销售者共同参与却被作者制遮蔽。,工业革命是否“发明”了设计？设计为什么逐渐从制作中分离，并成为工程、企业、市场和审美之间的中介活动？,专业设计并非机器的自动产物，而是劳动分工、图样复制、专利制度、企业组织、市场扩张和审美治理共同作用的结果；手工与机器并未简单先后替代，而是长期共存和相互重组。
CH01,第一章　工业化、劳动分工与“设计”的生成,1.6,“工业艺术”“装饰艺术”与“设计”,概念竞争及职业身份的早期形成。,工业革命是否“发明”了设计？设计为什么逐渐从制作中分离，并成为工程、企业、市场和审美之间的中介活动？,专业设计并非机器的自动产物，而是劳动分工、图样复制、专利制度、企业组织、市场扩张和审美治理共同作用的结果；手工与机器并未简单先后替代，而是长期共存和相互重组。
CH01,第一章　工业化、劳动分工与“设计”的生成,1.7,区域差异与混合生产,英国经验的特殊性；欧洲、亚洲与殖民地手工—机器并存。,工业革命是否“发明”了设计？设计为什么逐渐从制作中分离，并成为工程、企业、市场和审美之间的中介活动？,专业设计并非机器的自动产物，而是劳动分工、图样复制、专利制度、企业组织、市场扩张和审美治理共同作用的结果；手工与机器并未简单先后替代，而是长期共存和相互重组。
CH02,第二章　改良、消费、展览与跨国物质流动,2.1,1851年万国工业博览会,商品、机器、帝国与公众观看如何汇聚为“设计问题”。,19世纪的“设计改革”为何同时涉及审美、道德、劳动、国家竞争和殖民贸易？现代消费者又如何被商店、广告和陈列共同塑造？,设计改革既是对工业产品质量的回应，也是国家治理和社会区分的工具；工艺美术的劳动批判、百货商店的欲望生产与殖民展示的知识秩序共同构成现代设计的矛盾基础。
CH02,第二章　改良、消费、展览与跨国物质流动,2.2,博物馆、学校与国家治理,亨利·科尔体系及设计教育的制度化。,19世纪的“设计改革”为何同时涉及审美、道德、劳动、国家竞争和殖民贸易？现代消费者又如何被商店、广告和陈列共同塑造？,设计改革既是对工业产品质量的回应，也是国家治理和社会区分的工具；工艺美术的劳动批判、百货商店的欲望生产与殖民展示的知识秩序共同构成现代设计的矛盾基础。
CH02,第二章　改良、消费、展览与跨国物质流动,2.3,拉斯金、莫里斯与劳动伦理,反工业批判、社会主义理想与高价手工商品之间的张力。,19世纪的“设计改革”为何同时涉及审美、道德、劳动、国家竞争和殖民贸易？现代消费者又如何被商店、广告和陈列共同塑造？,设计改革既是对工业产品质量的回应，也是国家治理和社会区分的工具；工艺美术的劳动批判、百货商店的欲望生产与殖民展示的知识秩序共同构成现代设计的矛盾基础。
CH02,第二章　改良、消费、展览与跨国物质流动,2.4,百货商店与现代消费者,陈列、橱窗、目录、广告和信用如何组织欲望。,19世纪的“设计改革”为何同时涉及审美、道德、劳动、国家竞争和殖民贸易？现代消费者又如何被商店、广告和陈列共同塑造？,设计改革既是对工业产品质量的回应，也是国家治理和社会区分的工具；工艺美术的劳动批判、百货商店的欲望生产与殖民展示的知识秩序共同构成现代设计的矛盾基础。
CH02,第二章　改良、消费、展览与跨国物质流动,2.5,从唯美主义到新艺术,整体环境、室内、家具、平面与生活方式。,19世纪的“设计改革”为何同时涉及审美、道德、劳动、国家竞争和殖民贸易？现代消费者又如何被商店、广告和陈列共同塑造？,设计改革既是对工业产品质量的回应，也是国家治理和社会区分的工具；工艺美术的劳动批判、百货商店的欲望生产与殖民展示的知识秩序共同构成现代设计的矛盾基础。
CH02,第二章　改良、消费、展览与跨国物质流动,2.6,世界博览会与殖民分类,异域物如何被展示、命名和等级化。,19世纪的“设计改革”为何同时涉及审美、道德、劳动、国家竞争和殖民贸易？现代消费者又如何被商店、广告和陈列共同塑造？,设计改革既是对工业产品质量的回应，也是国家治理和社会区分的工具；工艺美术的劳动批判、百货商店的欲望生产与殖民展示的知识秩序共同构成现代设计的矛盾基础。
CH02,第二章　改良、消费、展览与跨国物质流动,2.7,跨境迁移与地方现代性,以棉布、染织、陶瓷、装饰纹样和日本主义为例，把单向“影响”改写为贸易网络中的选择、误读、翻译和再生产。,19世纪的“设计改革”为何同时涉及审美、道德、劳动、国家竞争和殖民贸易？现代消费者又如何被商店、广告和陈列共同塑造？,设计改革既是对工业产品质量的回应，也是国家治理和社会区分的工具；工艺美术的劳动批判、百货商店的欲望生产与殖民展示的知识秩序共同构成现代设计的矛盾基础。
CH03,第三章　战争、革命与先锋派的视觉—物质实验,3.1,战争、都市与机械感知,速度、碎片化和大众动员构成新视觉经验。,先锋派为什么把设计视为重组感知、劳动和社会生活的工具？战争、革命和大众传播怎样改变图形、摄影、建筑与日用品？,先锋设计不是一组新风格，而是围绕机器、速度、集体生活、政治宣传和媒介技术形成的竞争性社会方案；它的解放愿景始终伴随暴力、国家动员和专业权威的矛盾。
CH03,第三章　战争、革命与先锋派的视觉—物质实验,3.2,未来主义,宣言、排印、运动形式与战争政治。,先锋派为什么把设计视为重组感知、劳动和社会生活的工具？战争、革命和大众传播怎样改变图形、摄影、建筑与日用品？,先锋设计不是一组新风格，而是围绕机器、速度、集体生活、政治宣传和媒介技术形成的竞争性社会方案；它的解放愿景始终伴随暴力、国家动员和专业权威的矛盾。
CH03,第三章　战争、革命与先锋派的视觉—物质实验,3.3,达达与蒙太奇,拼贴如何破坏艺术自主性并批判媒体现实。,先锋派为什么把设计视为重组感知、劳动和社会生活的工具？战争、革命和大众传播怎样改变图形、摄影、建筑与日用品？,先锋设计不是一组新风格，而是围绕机器、速度、集体生活、政治宣传和媒介技术形成的竞争性社会方案；它的解放愿景始终伴随暴力、国家动员和专业权威的矛盾。
CH03,第三章　战争、革命与先锋派的视觉—物质实验,3.4,俄国构成主义与生产主义,从绘画实验转向生产、宣传和日常用品。,先锋派为什么把设计视为重组感知、劳动和社会生活的工具？战争、革命和大众传播怎样改变图形、摄影、建筑与日用品？,先锋设计不是一组新风格，而是围绕机器、速度、集体生活、政治宣传和媒介技术形成的竞争性社会方案；它的解放愿景始终伴随暴力、国家动员和专业权威的矛盾。
CH03,第三章　战争、革命与先锋派的视觉—物质实验,3.5,风格派与普遍秩序,抽象形式如何进入家具、住宅、出版和社会理想。,先锋派为什么把设计视为重组感知、劳动和社会生活的工具？战争、革命和大众传播怎样改变图形、摄影、建筑与日用品？,先锋设计不是一组新风格，而是围绕机器、速度、集体生活、政治宣传和媒介技术形成的竞争性社会方案；它的解放愿景始终伴随暴力、国家动员和专业权威的矛盾。
CH03,第三章　战争、革命与先锋派的视觉—物质实验,3.6,新摄影、新字体与展览设计,观看技术和公共传播的重组。,先锋派为什么把设计视为重组感知、劳动和社会生活的工具？战争、革命和大众传播怎样改变图形、摄影、建筑与日用品？,先锋设计不是一组新风格，而是围绕机器、速度、集体生活、政治宣传和媒介技术形成的竞争性社会方案；它的解放愿景始终伴随暴力、国家动员和专业权威的矛盾。
CH03,第三章　战争、革命与先锋派的视觉—物质实验,3.7,跨国先锋网络,刊物、展览、迁徙与翻译如何形成非中心化传播。,先锋派为什么把设计视为重组感知、劳动和社会生活的工具？战争、革命和大众传播怎样改变图形、摄影、建筑与日用品？,先锋设计不是一组新风格，而是围绕机器、速度、集体生活、政治宣传和媒介技术形成的竞争性社会方案；它的解放愿景始终伴随暴力、国家动员和专业权威的矛盾。
CH04,第四章　制度化的现代主义：制造联盟、包豪斯与设计教育,4.1,改革联盟与企业系统,制造联盟的标准之争，以及AEG如何协调建筑、产品与传播。,现代主义怎样从先锋理念变为课程、工坊、企业合作和职业规范？所谓“功能”是谁的需求，所谓“技术中立”又遮蔽了什么？,现代主义的影响力主要来自制度复制，而非某种固定形式。制造联盟、企业系统与包豪斯把标准、课程、工坊、展览、出版和职业网络连接起来；其内部关于共同体、生产、社会需求、技术、劳动、性别与学校权力的分歧，构成了后来被简化为单一“现代主义风格”的复杂遗产。
CH04,第四章　制度化的现代主义：制造联盟、包豪斯与设计教育,4.2,魏玛包豪斯与基础课程,共同体理想、身体训练、材料实验和教育权力。,现代主义怎样从先锋理念变为课程、工坊、企业合作和职业规范？所谓“功能”是谁的需求，所谓“技术中立”又遮蔽了什么？,现代主义的影响力主要来自制度复制，而非某种固定形式。制造联盟、企业系统与包豪斯把标准、课程、工坊、展览、出版和职业网络连接起来；其内部关于共同体、生产、社会需求、技术、劳动、性别与学校权力的分歧，构成了后来被简化为单一“现代主义风格”的复杂遗产。
CH04,第四章　制度化的现代主义：制造联盟、包豪斯与设计教育,4.3,1923年的制度转向,“艺术与技术”、实验住宅、原型与生产条件。,现代主义怎样从先锋理念变为课程、工坊、企业合作和职业规范？所谓“功能”是谁的需求，所谓“技术中立”又遮蔽了什么？,现代主义的影响力主要来自制度复制，而非某种固定形式。制造联盟、企业系统与包豪斯把标准、课程、工坊、展览、出版和职业网络连接起来；其内部关于共同体、生产、社会需求、技术、劳动、性别与学校权力的分歧，构成了后来被简化为单一“现代主义风格”的复杂遗产。
CH04,第四章　制度化的现代主义：制造联盟、包豪斯与设计教育,4.4,德绍体系与工坊劳动,建筑、媒介、学校形象、性别分流与学生作者权。,现代主义怎样从先锋理念变为课程、工坊、企业合作和职业规范？所谓“功能”是谁的需求，所谓“技术中立”又遮蔽了什么？,现代主义的影响力主要来自制度复制，而非某种固定形式。制造联盟、企业系统与包豪斯把标准、课程、工坊、展览、出版和职业网络连接起来；其内部关于共同体、生产、社会需求、技术、劳动、性别与学校权力的分歧，构成了后来被简化为单一“现代主义风格”的复杂遗产。
CH04,第四章　制度化的现代主义：制造联盟、包豪斯与设计教育,4.5,社会功能与学校政治,迈耶、密斯、校内冲突及1933年关闭。,现代主义怎样从先锋理念变为课程、工坊、企业合作和职业规范？所谓“功能”是谁的需求，所谓“技术中立”又遮蔽了什么？,现代主义的影响力主要来自制度复制，而非某种固定形式。制造联盟、企业系统与包豪斯把标准、课程、工坊、展览、出版和职业网络连接起来；其内部关于共同体、生产、社会需求、技术、劳动、性别与学校权力的分歧，构成了后来被简化为单一“现代主义风格”的复杂遗产。
CH04,第四章　制度化的现代主义：制造联盟、包豪斯与设计教育,4.6,从学校实验到可复制制度,基础课程、工坊、原型、展览、出版和企业合作如何被选择性保存，哪些实验没有进入量产或通行课程。,现代主义怎样从先锋理念变为课程、工坊、企业合作和职业规范？所谓“功能”是谁的需求，所谓“技术中立”又遮蔽了什么？,现代主义的影响力主要来自制度复制，而非某种固定形式。制造联盟、企业系统与包豪斯把标准、课程、工坊、展览、出版和职业网络连接起来；其内部关于共同体、生产、社会需求、技术、劳动、性别与学校权力的分歧，构成了后来被简化为单一“现代主义风格”的复杂遗产。
CH04,第四章　制度化的现代主义：制造联盟、包豪斯与设计教育,4.7,迁徙、正典与区域转译,人员、课程、出版和中国及其他地区教育中的选择性重组；区分直接接触、制度转译与后来的正典建构。,现代主义怎样从先锋理念变为课程、工坊、企业合作和职业规范？所谓“功能”是谁的需求，所谓“技术中立”又遮蔽了什么？,现代主义的影响力主要来自制度复制，而非某种固定形式。制造联盟、企业系统与包豪斯把标准、课程、工坊、展览、出版和职业网络连接起来；其内部关于共同体、生产、社会需求、技术、劳动、性别与学校权力的分歧，构成了后来被简化为单一“现代主义风格”的复杂遗产。
CH05,第五章　商业现代性：装饰艺术、流线型与工业设计职业,5.1,装饰艺术与1925年巴黎博览会,奢侈工艺、现代材料与殖民装饰资源。,为什么美国工业设计不是欧洲现代主义的简单移植？企业、广告、经济危机和消费欲望如何共同塑造现代产品形式？,商业现代性通过造型、品牌、市场研究和计划性更新，把设计转化为企业竞争工具。装饰艺术与流线型不只是样式，而是机器时代想象、消费分层和职业设计师权威的可见形式。
CH05,第五章　商业现代性：装饰艺术、流线型与工业设计职业,5.2,美国大众消费体系,广告、连锁零售、分期付款和企业实验室。,为什么美国工业设计不是欧洲现代主义的简单移植？企业、广告、经济危机和消费欲望如何共同塑造现代产品形式？,商业现代性通过造型、品牌、市场研究和计划性更新，把设计转化为企业竞争工具。装饰艺术与流线型不只是样式，而是机器时代想象、消费分层和职业设计师权威的可见形式。
CH05,第五章　商业现代性：装饰艺术、流线型与工业设计职业,5.3,经济危机与“销售工程”,设计如何被赋予刺激需求的经济功能。,为什么美国工业设计不是欧洲现代主义的简单移植？企业、广告、经济危机和消费欲望如何共同塑造现代产品形式？,商业现代性通过造型、品牌、市场研究和计划性更新，把设计转化为企业竞争工具。装饰艺术与流线型不只是样式，而是机器时代想象、消费分层和职业设计师权威的可见形式。
CH05,第五章　商业现代性：装饰艺术、流线型与工业设计职业,5.4,流线型的媒介迁移,从交通工具到家电、办公设备和包装。,为什么美国工业设计不是欧洲现代主义的简单移植？企业、广告、经济危机和消费欲望如何共同塑造现代产品形式？,商业现代性通过造型、品牌、市场研究和计划性更新，把设计转化为企业竞争工具。装饰艺术与流线型不只是样式，而是机器时代想象、消费分层和职业设计师权威的可见形式。
CH05,第五章　商业现代性：装饰艺术、流线型与工业设计职业,5.5,工业设计职业的形成,咨询设计师、企业内部团队与作者品牌。,为什么美国工业设计不是欧洲现代主义的简单移植？企业、广告、经济危机和消费欲望如何共同塑造现代产品形式？,商业现代性通过造型、品牌、市场研究和计划性更新，把设计转化为企业竞争工具。装饰艺术与流线型不只是样式，而是机器时代想象、消费分层和职业设计师权威的可见形式。
CH05,第五章　商业现代性：装饰艺术、流线型与工业设计职业,5.6,人体测量、家务与效率,科学管理如何进入办公室、厨房和家庭身体。,为什么美国工业设计不是欧洲现代主义的简单移植？企业、广告、经济危机和消费欲望如何共同塑造现代产品形式？,商业现代性通过造型、品牌、市场研究和计划性更新，把设计转化为企业竞争工具。装饰艺术与流线型不只是样式，而是机器时代想象、消费分层和职业设计师权威的可见形式。
CH05,第五章　商业现代性：装饰艺术、流线型与工业设计职业,5.7,商业设计的伦理争议,计划性报废、表面造型与消费者能动性。,为什么美国工业设计不是欧洲现代主义的简单移植？企业、广告、经济危机和消费欲望如何共同塑造现代产品形式？,商业现代性通过造型、品牌、市场研究和计划性更新，把设计转化为企业竞争工具。装饰艺术与流线型不只是样式，而是机器时代想象、消费分层和职业设计师权威的可见形式。
CH06,第六章　东亚转译与中国现代设计的形成（1895—1949）,6.1,概念前史,“图案”“工艺美术”“实用美术”“商业美术”与“设计”的语义变化。,现代设计在东亚和中国如何通过印刷资本、工业建设、教育改革、民族国家与都市消费而形成？为什么不能用“西方输入—东方接受”解释这一过程？,中国现代设计并非完整职业制度的一次性移植，而是在图案、工艺、美术、实业、广告、出版和国家建设等多套话语之间生成；上海、日本与欧美之间的人员、技术和图像流动构成多向转译网络。
CH06,第六章　东亚转译与中国现代设计的形成（1895—1949）,6.2,晚清工业、博览会与国货意识,实业救国、商品竞争和形式改良。,现代设计在东亚和中国如何通过印刷资本、工业建设、教育改革、民族国家与都市消费而形成？为什么不能用“西方输入—东方接受”解释这一过程？,中国现代设计并非完整职业制度的一次性移植，而是在图案、工艺、美术、实业、广告、出版和国家建设等多套话语之间生成；上海、日本与欧美之间的人员、技术和图像流动构成多向转译网络。
CH06,第六章　东亚转译与中国现代设计的形成（1895—1949）,6.3,印刷资本与视觉公共领域,石印、月份牌、报刊、书籍装帧和字体。,现代设计在东亚和中国如何通过印刷资本、工业建设、教育改革、民族国家与都市消费而形成？为什么不能用“西方输入—东方接受”解释这一过程？,中国现代设计并非完整职业制度的一次性移植，而是在图案、工艺、美术、实业、广告、出版和国家建设等多套话语之间生成；上海、日本与欧美之间的人员、技术和图像流动构成多向转译网络。
CH06,第六章　东亚转译与中国现代设计的形成（1895—1949）,6.4,上海都市消费文化,百货公司、广告公司、品牌和现代女性形象。,现代设计在东亚和中国如何通过印刷资本、工业建设、教育改革、民族国家与都市消费而形成？为什么不能用“西方输入—东方接受”解释这一过程？,中国现代设计并非完整职业制度的一次性移植，而是在图案、工艺、美术、实业、广告、出版和国家建设等多套话语之间生成；上海、日本与欧美之间的人员、技术和图像流动构成多向转译网络。
CH06,第六章　东亚转译与中国现代设计的形成（1895—1949）,6.5,教育制度与东亚中介,图画手工教育、工艺教育、美术学校、留学网络，以及经日本转译的术语、制度与工艺政策。,现代设计在东亚和中国如何通过印刷资本、工业建设、教育改革、民族国家与都市消费而形成？为什么不能用“西方输入—东方接受”解释这一过程？,中国现代设计并非完整职业制度的一次性移植，而是在图案、工艺、美术、实业、广告、出版和国家建设等多套话语之间生成；上海、日本与欧美之间的人员、技术和图像流动构成多向转译网络。
CH06,第六章　东亚转译与中国现代设计的形成（1895—1949）,6.6,民族形式与现代形式之争,传统资源如何被选择、标准化和政治化。,现代设计在东亚和中国如何通过印刷资本、工业建设、教育改革、民族国家与都市消费而形成？为什么不能用“西方输入—东方接受”解释这一过程？,中国现代设计并非完整职业制度的一次性移植，而是在图案、工艺、美术、实业、广告、出版和国家建设等多套话语之间生成；上海、日本与欧美之间的人员、技术和图像流动构成多向转译网络。
CH06,第六章　东亚转译与中国现代设计的形成（1895—1949）,6.7,战争环境中的宣传与生产,救亡图像、物资匮乏、迁徙与设计组织。,现代设计在东亚和中国如何通过印刷资本、工业建设、教育改革、民族国家与都市消费而形成？为什么不能用“西方输入—东方接受”解释这一过程？,中国现代设计并非完整职业制度的一次性移植，而是在图案、工艺、美术、实业、广告、出版和国家建设等多套话语之间生成；上海、日本与欧美之间的人员、技术和图像流动构成多向转译网络。
CH07,第七章　重建与“优良设计”：欧美、日本的战后制度,7.1,战时技术与和平转用,材料、标准化、军工生产及其民用转化。,战后“优良设计”是谁定义的？国家、博物馆、企业、设计委员会和消费者如何共同建立现代生活的规范？,“优良设计”并非纯粹美学判断，而是重建经济、社会福利、出口竞争、企业管理和生活教育的制度组合；不同国家借此形成了并不相同的现代设计秩序。
CH07,第七章　重建与“优良设计”：欧美、日本的战后制度,7.2,英国重建与设计委员会,展览、住宅、公共教育与出口政策。,战后“优良设计”是谁定义的？国家、博物馆、企业、设计委员会和消费者如何共同建立现代生活的规范？,“优良设计”并非纯粹美学判断，而是重建经济、社会福利、出口竞争、企业管理和生活教育的制度组合；不同国家借此形成了并不相同的现代设计秩序。
CH07,第七章　重建与“优良设计”：欧美、日本的战后制度,7.3,美国“Good Design”体系,现代艺术博物馆、企业与中产消费。,战后“优良设计”是谁定义的？国家、博物馆、企业、设计委员会和消费者如何共同建立现代生活的规范？,“优良设计”并非纯粹美学判断，而是重建经济、社会福利、出口竞争、企业管理和生活教育的制度组合；不同国家借此形成了并不相同的现代设计秩序。
CH07,第七章　重建与“优良设计”：欧美、日本的战后制度,7.4,乌尔姆设计学院,从包豪斯遗产转向方法、系统和科学化。,战后“优良设计”是谁定义的？国家、博物馆、企业、设计委员会和消费者如何共同建立现代生活的规范？,“优良设计”并非纯粹美学判断，而是重建经济、社会福利、出口竞争、企业管理和生活教育的制度组合；不同国家借此形成了并不相同的现代设计秩序。
CH07,第七章　重建与“优良设计”：欧美、日本的战后制度,7.5,联邦德国企业设计,布劳恩、视觉统一和长期产品系统。,战后“优良设计”是谁定义的？国家、博物馆、企业、设计委员会和消费者如何共同建立现代生活的规范？,“优良设计”并非纯粹美学判断，而是重建经济、社会福利、出口竞争、企业管理和生活教育的制度组合；不同国家借此形成了并不相同的现代设计秩序。
CH07,第七章　重建与“优良设计”：欧美、日本的战后制度,7.6,北欧设计的制度基础,福利国家、工艺传统、家庭生活与出口形象。,战后“优良设计”是谁定义的？国家、博物馆、企业、设计委员会和消费者如何共同建立现代生活的规范？,“优良设计”并非纯粹美学判断，而是重建经济、社会福利、出口竞争、企业管理和生活教育的制度组合；不同国家借此形成了并不相同的现代设计秩序。
CH07,第七章　重建与“优良设计”：欧美、日本的战后制度,7.7,日本战后设计重建,工业政策、质量控制、企业设计与传统再解释。,战后“优良设计”是谁定义的？国家、博物馆、企业、设计委员会和消费者如何共同建立现代生活的规范？,“优良设计”并非纯粹美学判断，而是重建经济、社会福利、出口竞争、企业管理和生活教育的制度组合；不同国家借此形成了并不相同的现代设计秩序。
CH08,第八章　冷战、社会主义设计、去殖民化与国家建设,8.1,冷战展览与生活方式竞争,家庭空间、家电和消费被转化为意识形态证据。,冷战和去殖民化如何产生多种“现代生活”方案？社会主义国家与新独立国家怎样使用设计建立生产秩序、公共身份和未来想象？,战后设计不是一个由西向东扩散的国际风格，而是不同政治经济体制对住房、生产、宣传、公共服务和民族身份的竞争性设计。国家能力、资源条件和殖民遗产决定了现代化的不同路径。
CH08,第八章　冷战、社会主义设计、去殖民化与国家建设,8.2,东欧社会主义日常生活,计划生产、标准住宅、短缺经济与使用者改造。,冷战和去殖民化如何产生多种“现代生活”方案？社会主义国家与新独立国家怎样使用设计建立生产秩序、公共身份和未来想象？,战后设计不是一个由西向东扩散的国际风格，而是不同政治经济体制对住房、生产、宣传、公共服务和民族身份的竞争性设计。国家能力、资源条件和殖民遗产决定了现代化的不同路径。
CH08,第八章　冷战、社会主义设计、去殖民化与国家建设,8.3,苏联及社会主义现代主义,公共系统、技术崇拜与制度约束。,冷战和去殖民化如何产生多种“现代生活”方案？社会主义国家与新独立国家怎样使用设计建立生产秩序、公共身份和未来想象？,战后设计不是一个由西向东扩散的国际风格，而是不同政治经济体制对住房、生产、宣传、公共服务和民族身份的竞争性设计。国家能力、资源条件和殖民遗产决定了现代化的不同路径。
CH08,第八章　冷战、社会主义设计、去殖民化与国家建设,8.4,去殖民化后的公共建设,以基础设施、交通、公共建筑、展览与公共服务设施为对象，追踪委托、融资、建设、使用和维护；不以国徽、党徽、地图、货币或邮票作为章节对象与配图。,冷战和去殖民化如何产生多种“现代生活”方案？社会主义国家与新独立国家怎样使用设计建立生产秩序、公共身份和未来想象？,战后设计不是一个由西向东扩散的国际风格，而是不同政治经济体制对住房、生产、宣传、公共服务和民族身份的竞争性设计。国家能力、资源条件和殖民遗产决定了现代化的不同路径。
CH08,第八章　冷战、社会主义设计、去殖民化与国家建设,8.5,印度及南亚现代性,国家机构、工艺政策、国际合作和地方知识。,冷战和去殖民化如何产生多种“现代生活”方案？社会主义国家与新独立国家怎样使用设计建立生产秩序、公共身份和未来想象？,战后设计不是一个由西向东扩散的国际风格，而是不同政治经济体制对住房、生产、宣传、公共服务和民族身份的竞争性设计。国家能力、资源条件和殖民遗产决定了现代化的不同路径。
