source_id,section_id,grade,verification,role,accepted_claim,evidence_boundary,original_followup,status,review_file
B0005,2.6,B,V2,exhibition_identity_and_classification,国际和帝国展览可通过选择、排除与陈列生产身份类别,Dipti Bhagat个案限于南非1851—1936语境；Lockyer已质疑仅用表演性解释,补官方目录、组织档案、地方媒体和观众材料,ACCEPTED_WITH_COUNTERARGUMENT,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\mappings\B0005_章节映射.csv
B0005,2.7,A,V2,translation_and_local_modernities,棉布、瓷器与茶器的跨境迁移包含选择、误读、替代和再生产,不得把物的相似性升级为单向影响或和谐交流,逐对象建立订单—制作—运输—销售—使用链,ACCEPTED_WITH_LIMITS,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\mappings\B0005_章节映射.csv
B0006,0.3,B,V2,retail_enterprise_media_production_and_style_method,商店史可把零售空间、媒体、生产、品牌、跨境流通和风格运动连接起来,企业人格化可能把结构与多行动者压缩为创始人意志,补机构、工人、生产者、顾客与竞争者材料,ACCEPTED_AS_ENTERPRISE_METHOD_CASE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\mappings\B0006_章节映射.csv
B0006,0.5,B,V2,corporate_magazine_family_archive_interview_and_press,公司内刊、家族材料、采访、馆藏和报刊可相互定位企业事件,无完整书目且资料接近企业，当前只能作路由与有限转述,返回公司档案、广告、目录、合同、账簿和报刊原件,ACCEPTED_WITH_PROVENANCE_FOLLOWUP,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\mappings\B0006_章节映射.csv
B0006,0.6,A,V2,corporate_commemoration_founder_worker_gender_colonial_and_audience_bias,纪念性企业叙事、创始人中心、工人／女性／殖民生产者缺口和受众效果断点须进入审计,企业材料丰富不等于独立验证,补独立商业史、劳动史、殖民贸易与消费者材料,ACCEPTED_AS_EVIDENCE_AUDIT,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\mappings\B0006_章节映射.csv
B0006,1.3,A,V2,import_dye_print_machine_block_and_brand_control,进口坯料、英国染印、机器适配、木版工艺、品牌标记和诉讼共同组织构思—制作—控制,企业品牌不能自动确定逐件设计者与生产者,补样本、配方、图样、订单、工序、合同和诉讼卷宗,ACCEPTED_AS_CORE_PRODUCTION_CASE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\mappings\B0006_章节映射.csv
B0006,1.4,A,V2,silk_cotton_dye_water_print_and_metal_material_system,丝、棉、染料、水质、木版、机器织造及金属合金说明材料供应如何限定产品,‘东方秘密’和性能主张多为企业／作者叙述，未做物质核验,补来源地生产、贸易、配方、样本检测和环境记录,ACCEPTED_WITH_TECHNICAL_COLONIAL_FOLLOWUP,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\mappings\B0006_章节映射.csv
B0006,1.5,A,V2,anonymous_designers_suppliers_workers_and_corporate_authorship,匿名设计政策、外部设计师、供应商、工坊与品牌共同制造企业作者制,匿名并不表示无作者，后世归属也需对象级证据,补设计簿、订单、工资、样品、印记和个人档案,ACCEPTED_AS_CORE_AUTHORSHIP_CASE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\mappings\B0006_章节映射.csv
B0006,1.6,B,V2,buyer_manager_designer_consultant_and_window_roles,采购者、部门经理、外部设计师、设计顾问和橱窗设计等角色展示零售设计职业分化,百年叙事跨期，不能把后期职位倒投到19世纪,逐期补职位、合同、职责、薪酬和职业组织,ACCEPTED_AS_ROLE_HISTORY,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\mappings\B0006_章节映射.csv
B0006,2.3,B,V2,morris_liberty_machine_craft_and_affordability_contrast,Liberty与Morris在机器、手工、价格和大众可及性上的差异可构成工艺美术内部比较,作者的二元对比可能简化两者混合生产和实际顾客结构,与B0070、B0348、账簿、工艺和顾客材料互证,ACCEPTED_WITH_COMPARATIVE_AUDIT,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\mappings\B0006_章节映射.csv
B0006,2.4,A,V2,shop_window_catalogue_display_brand_and_consumer_mediation,店铺、橱窗、目录、剧场、展览、命名、奖项和代理共同构成现代消费者的中介条件,供给、曝光和评论不能证明消费者被动接受或欲望被成功制造,补销售、价格、信用、顾客记录、家庭清单与使用材料,ACCEPTED_AS_CORE_RETAIL_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\mappings\B0006_章节映射.csv
B0006,2.5,A,V2,aestheticism_art_nouveau_fashion_interior_and_product_system,织物、服装、家具、室内、珠宝和金属器把唯美主义与新艺术组织为商业化生活方式,运动命名、品牌归属和设计者身份存在企业叙事与后见之明,补对象、设计簿、委托、展览、评论、住宅与使用史,ACCEPTED_AS_CORE_SOURCE_WITH_OBJECT_GAP,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\mappings\B0006_章节映射.csv
B0006,2.6,B,V2,oriental_warehouse_colonial_merchandising_and_classification,Oriental Warehouse、商品命名和进口分类可显示英国零售如何消费性地组织亚洲物品,不能用来代表日本、中国、印度等生产者自我分类或殖民经验,补来源地工匠、贸易、采购、殖民制度和地方消费材料,ACCEPTED_AS_BRITISH_RETAIL_DISCOURSE_ONLY,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\mappings\B0006_章节映射.csv
B0006,2.7,A,V2,asia_britain_paris_trade_translation_and_reproduction,进口、英国改制、巴黎分店、代理、仿冒与地方生产构成选择—翻译—再生产链,‘东方影响’不能由风格相似或企业宣传单向推出,补贸易、人员、合同、样本、生产者和接收方材料,ACCEPTED_WITH_TRANSFER_FOLLOWUP,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\mappings\B0006_章节映射.csv
B0006,5.1,B,V2,liberty_between_art_nouveau_and_art_deco_revival,Liberty产品、巴黎时尚合作与后来的历史复兴可补装饰艺术商业谱系,本书并非1925巴黎博览会或Art Deco核心研究,补展览、对象、设计师、生产和同期评论,ACCEPTED_AS_COMMERCIAL_CONTEXT,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\mappings\B0006_章节映射.csv
B0006,5.5,B,V2,retail_design_consultant_brand_and_anonymous_professionalization,企业内部设计顾问、匿名设计和品牌控制可补商业设计职业化路径,企业职位史不等于行业总体职业制度,补合同、薪酬、组织、教育和行业比较,ACCEPTED_AS_ENTERPRISE_ROLE_CASE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\mappings\B0006_章节映射.csv
B0007,0.4,C,V2,ephemerality_of_montage_archive,蒙太奇作品多为临时性材料（Grosz描述的明信片无一幸存），部分原作散佚，本书依赖刊物复现与二手转载，展示人工物作为史料的不稳定性,“原作散佚、需据书刊复制”是作者自述的编辑说明,clean第137行,CONTEXT_ONLY,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\mappings\B0007_章节映射.csv
B0007,0.5,B,V2,montage_as_document_and_object,照片蒙太奇以报纸照片、警方档案照片等现成影像为材料（如Heartfield挪用Photo-Eye中的斯图加特警方照片），既是史料利用也是可考对象,蒙太奇作品作为史料/对象的双重身份是本书的实践性证据，作者未作史料学理论化,clean第411—417行,ACCEPTED_AS_CORE_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\mappings\B0007_章节映射.csv
B0007,0.6,C,V2,propaganda_ambiguity_spectator_bias,Heartfield个别作品存在解读歧义（如《自杀者的愿望实现》中红军形象、《SPD危机党大会》反社民党立场受Berger批评），显示宣传图像意义并不自明,“含义歧义”与“失败”评价来自Berger论文转述，非蒙太奇对象自身可证内容,clean第457行,CONTEXT_ONLY,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\mappings\B0007_章节映射.csv
B0007,3.1,B,V2,citroen_metropolis_urban_montage,Citroën《大都会》(1923)以方格网格堆积都市影像，将现代都市的同时性感知转化为蒙太奇，体现战争后都市与机械经验,“预示Mondrian Broadway Boogie Woogie”“或启发Lang电影”均为作者关联命题而非传播证据,clean第899—905行,ACCEPTED_AS_CORE_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\mappings\B0007_章节映射.csv
B0007,3.2,C,V2,futurist_collage_precedent,未来主义（Carrà 1915年拼贴入照片）构成蒙太奇的前史个案，Marinetti宣言中的都市愿景被作者视为蒙太奇都市想象的思想前奏,仅作前史背景；未主张未来主义与柏林达达之间存在技法传播,clean第107、901—903行,CONTEXT_ONLY,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\mappings\B0007_章节映射.csv
B0007,3.3,A,V2,origin_naming_berlin_dada,柏林达达在一战后为将照片引入作品的技法命名photomontage，并以Monteur（装配工）取代艺术家身份，构成达达蒙太奇的起源与身份政治机制,发明权归属（Grosz/Heartfield 1915-16 vs. Hausmann/Höch 1918波罗的海）存争议，书中如实转述双方主张而未裁断,clean第107、146—152行：命名引文与两派发明主张,ACCEPTED_AS_CORE_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\mappings\B0007_章节映射.csv
B0007,3.3,A,V2,heartfield_antifascist_aiz_montage,Heartfield在《AIZ》等德共刊物上以摄影蒙太奇作反法西斯宣传，照片的熟悉外观与并置逻辑共同生效，成为达达蒙太奇政治化的关键案例,Berger“先事物后符号”与Lukàcs“好笑话”系转引评论家判断，属作者采信的二手命题；作品日期与刊物可证,clean第377—449、506行,ACCEPTED_AS_CORE_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\mappings\B0007_章节映射.csv
B0007,3.3,B,V2,ernst_fatagaga_surrealist_transition,Ernst的Fatagaga拼贴（1919-20）通过“相距甚远现实的聚合”制造惊异，被Breton视为超现实主义前驱，构成达达蒙太奇向超现实主义过渡的环节,Breton 1921年序言“缝合机与雨伞”意象为转引；“超现实主义前驱”定位是作者与布勒东的历史判断,clean第982—1004行,ACCEPTED_AS_CORE_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\mappings\B0007_章节映射.csv
B0007,3.3,C,V2,marxist_dialectic_affinity_claim,作者主张摄影蒙太奇天然适合表达马克思主义辩证法：并置矛盾元素以暴露本质（正题—反题—合题）,此为Ades与Berger的理论命题而非对象自证内容，引用时须标注作者立场,clean第381、449、506行,CONTEXT_ONLY,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\mappings\B0007_章节映射.csv
B0007,3.4,A,V2,klutsis_dynamic_city_suprematist_basis,Klutsis《动态城市》(1919-20)以“体积空间至上主义+photomontage”将至上主义平面替换为摄影元素，被作者定位为苏联摄影蒙太奇起点,“苏联首幅蒙太奇”系Klutsis自称，Ades引Rakitin 1918年之说表明起源年代仍有争论；平面替换的细读为作者命题,clean第564—579行,ACCEPTED_AS_CORE_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\mappings\B0007_章节映射.csv
B0007,3.4,A,V2,rodchenko_about_this_illustration,Rodchenko 1923年为马雅可夫斯基《关于这个》配图，以摄影蒙太奇展开个人情感与革命叙事的交织，构成苏联早期蒙太奇代表作,蒙太奇与诗作逐幅对应的解读属作者细读命题；“苏联最早想象力蒙太奇”为作者评价,clean第659—754行,ACCEPTED_AS_CORE_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\mappings\B0007_章节映射.csv
B0007,3.4,B,V2,dada_constructivism_independent_development,达达蒙太奇为讽刺解构、苏联构成主义蒙太奇为乌托邦建设；作者以传播媒介记录与视觉证据论证两者基本独立发展,“独立发展”是基于Das Plakat刊载记录、Lissitzky未见Hausmann作品等证据的论证，非定论,clean第566—577行,ACCEPTED_AS_CORE_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\mappings\B0007_章节映射.csv
B0007,3.6,B,V2,lissitzky_press_exhibition_frieze,Lissitzky 1928年科隆国际新闻展“新闻的任务是教育群众”摄影浮雕墙将蒙太奇用于大规模展览设计，展示苏联建设成就,作品年代与展出语境可证；其与Vertov纪录片的结构类比为作者命题,clean第555、562、820行,ACCEPTED_AS_CORE_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\mappings\B0007_章节映射.csv
B0007,3.6,B,V2,moholy_photoplastics_and_repetition,Moholy-Nagy的物影照片、“摄影造型”（photoplastics）及重复系列将蒙太奇引向形式实验与设计单元化,photogram严格说非蒙太奇，Ades自述因扰乱感知功能相近而纳入，属作者选材决定,clean第1212—1252行,ACCEPTED_AS_CORE_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\mappings\B0007_章节映射.csv
B0007,3.6,C,V2,surrealist_mode_in_advertising,1930年代时尚与广告摄影（Beaton、McBean、Bayer的《Die Neue Linie》封面）吸收“超现实主义”风格，作者指出商业挪用与超现实主义本义的偏离,“被操纵照片在超现实主义刊物中仅占少数”是作者基于刊物材料的统计判断,clean第1121、1135行,CONTEXT_ONLY,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\mappings\B0007_章节映射.csv
B0007,3.7,B,V2,polish_constructivism_transnational_journals,柏林《Veshch》(1922)、华沙《Blok》(1924)等跨国期刊构成波兰构成主义蒙太奇（Szczuka、Berman）的传播网络,Szczuka引入波兰蒙太奇等事实可证；“Blok版式受Veshch影响”依据版式相似，属作者推断,clean第849—858、865行,ACCEPTED_AS_CORE_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\mappings\B0007_章节映射.csv
B0008,0.2,A,V2,modernity_definition,现代性的规范性定义：素朴无装饰、个性强大无需面具、“我们有了取代装饰的艺术”,是行动者对现代性的规范主张，非对现代性事实的描述,clean第1677行及后续,ACCEPTED_AS_ACTOR_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\mappings\B0008_章节映射.csv
B0008,0.2,B,V2,modernity_gender_bias,女性时尚被解释为“向男性感官的诉求”，装饰与女性化关联——现代性话语的性别维度,父权视角立场转述，作为现代性批判史料,clean第782—792行,ACCEPTED_AS_ACTOR_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\mappings\B0008_章节映射.csv
B0008,0.5,A,V2,actor_text_evidence,本书为行动者文本汇编（P0）：23篇Loos原文+Masheck后记+注释，证据类型为行动者文本,编辑层（后记、导言、注释）与原文层须区分，不同报告不得视为独立来源,clean第2881行正文标题页,ACCEPTED_AS_ACTOR_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\mappings\B0008_章节映射.csv
B0008,0.5,C,V2,editorial_layer,Masheck后记：1908/1909年代重订、Lombroso借用溯源、进化论语境化辩护、Ornament vs. Schmuck辨析,二手学术解读，可作研究参考，不作一手证据,clean第2426—2432、2516行,ACCEPTED_AS_ACTOR_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\mappings\B0008_章节映射.csv
B0008,0.6,A,V2,evolutionary_discourse_bias,种族/进化论话语（巴布亚人、纹身与犯罪、Haeckel重演论）作为历史立场转述，用作证据偏差典型案例,仅证明Loos主张过该立场，不证明其科学性，不得作现代种族观依据,clean第1661、1670—1671行,ACCEPTED_AS_ACTOR_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\mappings\B0008_章节映射.csv
B0008,0.6,B,V2,rhetoric_bias,新闻体反讽夸张（“毒死建筑师”、“纹身者未入狱即潜在罪犯”）不可按字面作事实或政策主张,修辞层与主张层须区分；Masheck亦指出其“绝非完全严肃”,clean第1671行,ACCEPTED_AS_ACTOR_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\mappings\B0008_章节映射.csv
B0008,0.6,B,V2,translation_bias,英译本非德文原典，Ornament/Schmuck等语词辨析依赖译者与后记转述,翻译层损耗可能影响精确命题表述，术语争议须回查德文原典,clean全文为英文,ACCEPTED_AS_ACTOR_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\mappings\B0008_章节映射.csv
B0008,0.6,X,V2,p4_knowledge_emergence,知识涌现模型（P4推演）仅作语义路由，不构成来源证据,不进入教材命题证据链，其命题未经本包原文核验,packet 知识涌现分析00—04文件,P4_SEMANTIC_ROUTING_ONLY,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\mappings\B0008_章节映射.csv
B0008,2.5,A,V2,secession_critic,对维也纳分离派与青年风格的装饰批判：斥其以新装饰替换旧装饰、产品已被遗忘,证明Loos的反对主张，不能据此断定分离派实际性质,clean第2004、2028行；第235行,ACCEPTED_AS_ACTOR_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\mappings\B0008_章节映射.csv
B0008,2.5,A,V2,decor_crime_thesis,“文化进化=去除实用物品装饰”；现代装饰“没有父母、没有后代”——装饰批判与唯美主义/新艺术议题的衔接命题,行动者核心主张，作为2.5装饰批判谱系的讨论对象而非结论,clean第1677行,ACCEPTED_AS_ACTOR_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\mappings\B0008_章节映射.csv
B0008,4.1,A,V2,craft_education_critic,对奥地利应用艺术学校背离工艺、攀附纯艺术的批评，主张“革命必须来自底层——作坊”,证明Loos的批评主张，不证明学校实况；作为改革联盟前史的行动者立场,packet 01_我们的应用艺术学校分章报告,ACCEPTED_AS_ACTOR_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\mappings\B0008_章节映射.csv
B0008,4.1,A,V2,english_modernity_model,以英国（伦敦）为中产阶级现代性标杆，对比法式宫廷传统，推崇英国实用导向工艺,行动者立场；其英国中心主义忽视殖民地条件系分析报告指出的局限,clean第4行目录；整体报告L3.5,ACCEPTED_AS_ACTOR_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\mappings\B0008_章节映射.csv
B0008,4.7,A,V2,modernist_canon_actor,Loos作为现代主义正典行动者：《装饰与罪恶》等文本成为现代建筑与设计理论正典文献，其地位是文本事实,只能证明其文本地位与行动者主张，不能自动证明其对包豪斯等机构的实际因果影响,clean第1658—1677行核心公式,ACCEPTED_AS_ACTOR_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\mappings\B0008_章节映射.csv
B0008,4.7,B,V2,canon_influence_claim,路斯思想经Pevsner、Giedion等战后史叙述正典化，并影响Le Corbusier与包豪斯功能主义导向,系分析报告二手判断，需独立接受史证据核验,packet 00_整体分析报告L6、L8,ACCEPTED_AS_ACTOR_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\mappings\B0008_章节映射.csv
B0008,4.7,B,V2,canon_actor_self_positioning,路斯自我定位为发现者：“我们克服了装饰，我们挣扎着到达了无装饰”,行动者自我叙事，其“发现”宣称属修辞，影响力须由接受史独立证据支撑,clean第1678—1687行,ACCEPTED_AS_ACTOR_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\mappings\B0008_章节映射.csv
B0009,11.6,C,V2,counterculture_posters,反文化运动与波兰海报学派（1960s以来）：平面设计的文化转向——后现代平面的社会语境,通史表述（2004）；反文化个案以专史为准,第四五章分析报告,ACCEPTED_AS_SUPPORTING_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-013-CH11-POSTMODERN\mappings\B0009_章节映射.csv
B0009,11.7,C,V2,japanese_graphic_boom,日本平面设计的爆发——后现代全球传播的亚洲侧,通史表述；日本个案以B0197/专史为准,第五章分析报告,ACCEPTED_AS_SUPPORTING_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-013-CH11-POSTMODERN\mappings\B0009_章节映射.csv
